sram_size_mb,dram_bandwidth,sram_bandwidth,tokens_per_second,per_layer_time_ms,per_forward_time_ms,total_cycles,success
0.5,8,16,24.482613818692343,0.07091199999999999,163.38124799999997,6807552.0,True
0.5,8,32,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,64,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,128,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,256,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,16,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,16,32,48.965227637384686,0.035455999999999994,81.69062399999999,3403776.0,True
0.5,16,64,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,16,128,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,16,256,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,32,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,32,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,32,64,97.93045527476937,0.017727999999999997,40.84531199999999,1701888.0,True
0.5,32,128,98.16671692802574,0.017685333333333334,40.747008,1697792.0,True
0.5,32,256,98.16671692802574,0.017685333333333334,40.747008,1697792.0,True
0.5,64,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,64,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,64,64,125.05602509924447,0.013882666666666666,31.985664,1332736.0,True
0.5,64,128,141.4078337677382,0.012277333333333335,28.286976000000003,1178624.0,True
0.5,64,256,141.65397447055412,0.012255999999999998,28.237823999999996,1176576.0,True
0.5,128,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,128,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,128,64,125.05602509924447,0.013882666666666666,31.985664,1332736.0,True
0.5,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
0.5,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
1.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
